측정일시    ,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
19870201,서대문구,0.049       ,         ,6.8         ,0.175     ,         ,
19870201,서초구 ,0.042       ,0.012    ,1.4         ,0.161     ,         ,
19870201,성동구 ,0.041       ,0.016    ,4.7         ,0.172     ,         ,
19870201,송파구 ,0.034       ,0.005    ,2.8         ,          ,         ,
19870201,용산구 ,0.025       ,0.006    ,4.1         ,          ,         ,
19870202,광진구 ,            ,         ,1.9         ,0.05      ,         ,
19870202,구로구 ,0.018       ,0.004    ,2.3         ,0.085     ,         ,
19870202,도봉구 ,0.026       ,0.017    ,2.3         ,0.114     ,         ,
19870202,서대문구,0.058       ,         ,3.3         ,0.083     ,         ,
19870202,서초구 ,0.021       ,0.07     ,0.5         ,0.044     ,         ,
19870202,성동구 ,0.03        ,0.041    ,3.2         ,0.113     ,         ,
19870202,송파구 ,0.022       ,0.018    ,1.2         ,          ,         ,
19870202,용산구 ,0.017       ,0.023    ,1.9         ,0.134     ,         ,
19870203,광진구 ,0.094       ,0        ,2.8         ,0.1       ,         ,
19870203,구로구 ,0.016       ,0.005    ,            ,0.075     ,         ,
19870203,도봉구 ,0.023       ,0.027    ,3.1         ,0.078     ,         ,
19870203,서대문구,0.057       ,         ,3.4         ,0.092     ,         ,
19870203,서초구 ,0.035       ,0.066    ,0.5         ,0.034     ,         ,
19870203,성동구 ,0.037       ,0.036    ,4           ,0.134     ,         ,
19870203,송파구 ,0.028       ,0.018    ,1.9         ,          ,         ,
19870203,용산구 ,0.024       ,0.021    ,2.5         ,0.135     ,         ,
19870204,광진구 ,0.056       ,0.002    ,3.6         ,0.13      ,         ,
19870204,구로구 ,0.019       ,0.002    ,4.7         ,0.119     ,         ,
19870204,도봉구 ,0.052       ,0.014    ,9.2         ,0.243     ,         ,
19870204,서대문구,0.059       ,         ,8.5         ,0.172     ,         ,
19870204,서초구 ,0.039       ,0.028    ,2.5         ,0.112     ,         ,
19870204,성동구 ,0.046       ,0.021    ,6.4         ,0.218     ,         ,
19870204,송파구 ,0.04        ,0.01     ,3.5         ,          ,         ,
19870204,용산구 ,0.028       ,0.015    ,4           ,0.15      ,         ,
19870205,광진구 ,0.038       ,0.001    ,4.1         ,0.146     ,         ,
19870205,구로구 ,0.029       ,0.002    ,10.2        ,0.235     ,         ,
19870205,도봉구 ,0.059       ,0.007    ,16.3        ,0.373     ,         ,
19870205,서대문구,0.078       ,         ,14.6        ,0.243     ,         ,
19870205,서초구 ,0.056       ,0.007    ,6.7         ,0.287     ,         ,
19870205,성동구 ,0.054       ,0.008    ,9.9         ,0.296     ,         ,
19870205,송파구 ,0.043       ,0.005    ,5.1         ,          ,         ,
19870205,용산구 ,0.031       ,0.004    ,8.7         ,0.157     ,         ,
19870206,광진구 ,0.028       ,0        ,4.5         ,0.152     ,         ,
19870206,구로구 ,0.029       ,0.003    ,11.5        ,0.321     ,         ,
19870206,도봉구 ,0.056       ,0.004    ,20.9        ,0.418     ,         ,
19870206,서대문구,0.077       ,         ,13.1        ,0.186     ,         ,
19870206,서초구 ,0.056       ,0.02     ,7.2         ,0.311     ,         ,
19870206,성동구 ,0.05        ,0.004    ,10.1        ,0.283     ,         ,
19870206,송파구 ,0.038       ,0.006    ,5.8         ,          ,         ,
19870206,용산구 ,0.029       ,0.003    ,8           ,0.153     ,         ,
19870207,광진구 ,0.025       ,0.001    ,3.9         ,0.156     ,         ,
19870207,구로구 ,0.027       ,0.004    ,4.2         ,0.087     ,         ,
19870207,도봉구 ,0.042       ,0.013    ,11.1        ,0.207     ,         ,
19870207,서대문구,0.064       ,         ,7.7         ,0.106     ,         ,
19870207,서초구 ,0.045       ,0.02     ,4.3         ,0.146     ,         ,
