"행정구역별(읍면동)",2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"춘천시",283742,139217,144525,279284,137017,142267,4458,2200,2258,112688,111347,98,1243,93649,26664,62375,1889,1389,1332,1563
"원주시",341338,170450,170888,337244,168226,169018,4094,2224,1870,135792,134649,106,1037,121069,29857,87557,1171,1089,1395,3031
"강릉시",215914,108572,107342,213552,107358,106194,2362,1214,1148,90627,89874,104,649,79769,29412,44766,2584,1350,1657,1823
"동해시",89151,45347,43804,88263,44827,43436,888,520,368,36218,35956,24,238,37245,10668,23110,1661,1145,661,697
"태백시",44733,22638,22095,44421,22522,21899,312,116,196,18979,18886,24,69,21179,6144,11297,3169,168,401,347
"속초시",78618,38962,39656,77447,38259,39188,1171,703,468,33441,33111,25,305,33323,8566,22296,1405,462,594,1012
"삼척시",67860,35066,32794,66928,34542,32386,932,524,408,29072,28828,31,213,29323,13760,12596,1555,876,536,614
"홍천군",67168,34331,32837,65895,33561,32334,1273,770,503,28339,27902,50,387,28731,18099,7978,1464,558,632,801
"횡성군",43211,21839,21372,42418,21382,21036,793,457,336,18180,17933,31,216,18546,13480,3838,389,500,339,733
"영월군",36934,19006,17928,36469,18822,17647,465,184,281,16522,16406,23,93,16970,11655,3455,700,786,374,614
"평창군",40264,20670,19594,39715,20404,19311,549,266,283,17620,17409,23,188,20075,12263,4455,1897,990,470,688
"정선군",36002,18776,17226,35652,18667,16985,350,109,241,15466,15360,17,89,16476,10105,5098,379,454,440,540
"철원군",44770,23792,20978,43831,23202,20629,939,590,349,18073,17710,27,336,16287,9346,4686,995,820,440,745
"화천군",24625,13589,11036,24322,13441,10881,303,148,155,10387,10274,20,93,9682,5804,2964,477,208,229,360
"양구군",22355,11971,10384,22002,11836,10166,353,135,218,8975,8869,14,92,8104,4836,2519,325,174,250,276
"인제군",30524,16456,14068,30086,16244,13842,438,212,226,12851,12697,12,142,12005,7485,3270,534,323,393,374
"고성군",28621,15422,13199,27640,14702,12938,981,720,261,12352,12160,27,165,11545,8892,2058,109,113,373,468
